Event	ID	Name			Wwise Object Path	Notes
	156328838	Ambience_Wind			\Default Work Unit\Ambients\2D\Ambience_Wind	
	979637522	A_Sea			\Default Work Unit\Ambients\3D\A_Sea	
	1032244605	A_TempleForest			\Default Work Unit\Ambients\2D\A_TempleForest	
	1441467767	A_Birds			\Default Work Unit\Ambients\2D\A_Birds	
	3210143353	A_Waterfall			\Default Work Unit\Ambients\3D\A_Waterfall	
	3439512362	Temple_Forest			\Default Work Unit\Ambients\3D\Temple_Forest	
	4102924034	A_MagicTree			\Default Work Unit\Ambients\3D\A_MagicTree	
	4201072473	Ambience_Bed			\Default Work Unit\Ambients\2D\Ambience_Bed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	233121454	Amb_Bird_10	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_10_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_10		731100
	306253277	Amb_Bird_20	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_20_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_20		941240
	313599495	Amb_WindBed_Loop_01	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_WindBed_Loop_01_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\AmbienceWind_Beds\Amb_WindBed_Loop_01		3531764
	385460749	Amb_Sea_Loop_02	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Sea_Loop_02_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Sea\Amb_Sea_Loop_02		1762262
	410336908	Amb_RustleTree_04	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_RustleTree_04_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Temple_Forest\Amb_RustleTree_04		926252
	418993981	Amb_Bird_18	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_18_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_18		786252
	456544867	Amb_Bird_06	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_06_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_06		843500
	470156446	Amb_WindBed_Loop_02	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_WindBed_Loop_02_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\AmbienceWind_Beds\Amb_WindBed_Loop_02		3524428
	488028502	Amb_Bird_14	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_14_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_14		874644
	585385968	Amb_Bird_19	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_19_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_19		967860
	605660863	Amb_WindBed_Loop_03	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_WindBed_Loop_03_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\AmbienceWind_Beds\Amb_WindBed_Loop_03		3528096
	638186063	Amb_Bird_21	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_21_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_21		766420
	663698948	Ambience_MagicTree_Mono	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Ambience_MagicTree_Mono_D79FB2B7.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Ambience_MagicTree_Mono		3620332
	671638762	Amb_Bird_17	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_17_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_17		732544
	796000091	Amb_Bird_04	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_04_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_04		624304
	820716297	Amb_Waterfall_Loop_01	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Waterfall_Loop_01_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Waterfall\Amb_Waterfall_Loop_01		2646096
	846313758	Amb_Bird_03	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_03_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_03		372396
	890219555	Amb_Bird_13	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_13_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_13		768204
	894730536	Amb_Bird_01	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_01_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_01		520560
	915508392	Amb_Bird_08	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_08_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_08		597444
	925840073	Amb_WaterStream_Loop_01	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_WaterStream_Loop_01_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Waterfall\Amb_WaterStream_Loop_01		2861020
	937541416	Amb_RustleTree_05	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_RustleTree_05_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Temple_Forest\Amb_RustleTree_05		1017794
	950069869	Amb_WindBed_Loop_05	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_WindBed_Loop_05_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\AmbienceWind_Beds\Amb_WindBed_Loop_05		3412160
	989506950	Amb_RustleTree_02	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_RustleTree_02_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Temple_Forest\Amb_RustleTree_02		908860
	1032143307	Amb_Bird_05	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_05_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_05		609532
	1033266126	Amb_Bird_02	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_02_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_02		248804
	1033699275	Amb_Bird_12	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_12_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_12		760264
	1035428806	Amb_Bird_11	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_11_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_11		703832
	1045524679	Amb_Sea_Loop_04	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Sea_Loop_04_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Sea\Amb_Sea_Loop_04		1764096

